nPolygons: 54
4 {39.6620050739, -18.9718360004, -11.1390386807} {-75, 22.0006307234, 1.21607784968} {-75, 20.3143380852, 8.44450848695} {39.8167620211, -20.7134283333, -3.92728348976} 
4 {75, -4.30840987742, -3.47773226323} {-11.3672521027, 18.1235995429, -4.15136313613} {-11.387237186, 18.2620603911, 3.02172225385} {75, -4.1751397186, 3.69550900259} 
4 {74.7842415424, -46.5426493193, -0.726078847373} {59.0606671006, 6.55303218108, -2.15319696782} {59.0755286814, 6.63184573588, 0.615307037277} {74.7991031231, -46.4638357645, 2.04242515772} 
4 {33.6601481089, -17.6694541553, -4.43175203204} {26.2021157607, 35.4281761514, 1.63449090425} {26.4625864888, 35.1594972785, 4.30645949331} {33.920618837, -17.9381330282, -1.75978344299} 
4 {51.1100117916, -28.4447213002, 5.6315426433} {75, -12.2558073078, 0.329382547887} {75, -12.3870766046, -2.1657120071} {50.8018768382, -28.7847964875, 3.20483576768} 
4 {75, -37.049037244, -9.32455054579} {-33.4899069069, 6.96655999005, 5.34591119241} {-32.6874319151, 6.57648158372, 12.450661748} {75, -37.1135423593, -2.11128594497} 
4 {6.34672053278, -2.96323702386, -1.14373909611} {-5.53009006644, 41.6348556483, -1.08279666487} {-5.19997128256, 41.7196500467, 1.19951853986} {6.67683931666, -2.87844262555, 1.13857610862} 
4 {8.9399089206, -29.3935629686, -1.32342830499} {-75, -10.2871802144, -3.63168695995} {-75, -8.0489419436, 2.48891493621} {9.26402816595, -27.2291006458, 4.80608652738} 
4 {-49.8887228738, -14.4672152447, -1.10661197036} {-22.7010786869, 18.5001978298, 3.33047542276} {-22.6880787219, 18.7761863415, 1.20023437618} {-49.8757229087, -14.191226733, -3.23685301693} 
4 {55.0103727841, -4.57312961255, 1.49568915278} {75, 14.2923145544, 0.731270547737} {75, 14.1835786332, -1.26765016084} {55.024209194, -4.66880726025, -0.503760670673} 
4 {75, -13.4065230412, -3.35564506795} {9.71996551807, 6.29716307263, -1.10310640381} {9.82447106858, 5.91879317399, 5.23525656689} {75, -13.7533496881, 2.98632394853} 
4 {-75, 7.56205362696, 1.25437212701} {-57.8426870811, 21.7477572038, -0.886133157128} {-57.9981856398, 21.6532984983, -2.75854181556} {-75, 7.59616146746, -0.637436159333} 
4 {-51.5889493978, -35.30254963, -1.08349383214} {-61.3525758362, 1.48256559336, -0.994917968531} {-61.3272085535, 1.48471691716, 0.90785748499} {-51.5635821151, -35.3003983062, 0.819281621379} 
4 {38.3639083989, 9.03053786328, 4.53250194878} {-75, 23.6610881661, -10.1829480094} {-75, 23.9074129102, -4.25970820532} {37.6507157461, 9.36890601982, 10.3631642214} 
4 {-31.0631462968, -18.143018682, -0.745999820063} {-12.9294309316, 3.70350611327, 2.06587798743} {-12.9100278734, 3.8697435487, 0.649187767617} {-31.0437432386, -17.9767812465, -2.16269003988} 
